Jahr,Einzelpl.,Beschreibung
2013,010,"Bürgerschaft, Verfassungsgericht, Rechnungshof "
2013,011,Senat und Personalamt 
2013,012,Bezirksamt Hamburg-Mitte 
2013,013,Bezirksamt Altona 
2013,014,Bezirksamt Eimsbüttel 
2013,015,Bezirksamt Hamburg-Nord 
2013,016,Bezirksamt Wandsbek 
2013,017,Bezirksamt Bergedorf 
2013,018,Bezirksamt Harburg 
2013,020,Behörde für Justiz und Gleichstellung
2013,031,Behörde für Schule und Berufsbildung 
2013,032,Behörde für Wissenschaft und Forschung 
2013,033,Kulturbehörde
2013,040,"Behörde für Arbeit, Soziales, Familie, und Intgegration"
2013,050,Behörde für Gesundheit und Verbraucherschutz
2013,060,Behörde für Stadtentwicklung und Umwelt 
2013,070,"Behörde für Wirtschaft, Verkehr und Innovation"
2013,081,Behörde für Inneres und Sport
2013,091,Finanzbehörde 
2013,092,Allgemeine Finanzverwaltung 
